temperature,rainfall,humidity,soil_moisture,forecast_rainfall,historical_rainfall,historical_temperature,crop_type,soil_type,water_availability,drought_risk,flood_risk,heat_risk,extreme_rainfall_risk
29.4,0.0,51.2,20.6,4.1,25.3,28.5,Pulses,Sandy Loam,Adequate,0,0,0,0
20.7,0.0,53.8,36.1,0.6,53.6,21.6,Pulses,Black Soil,Low / Moderate Deficit,0,0,0,0
20.9,0.0,51.3,17.3,4.3,7.1,22.1,Mustard,Clayey Loam,Critical Deficit,1,0,0,0
22.2,0.0,58.1,20.6,1.5,0.7,24.2,Wheat,Alluvial Soil,Critical Deficit,1,0,0,0
37.0,0.0,60.2,16.6,0.5,0.4,36.1,Pulses,Alluvial Soil,Critical Deficit,1,0,0,0
34.5,30.0,92.6,31.8,43.0,62.3,35.2,Mustard,Red Soil,Low / Moderate Deficit,0,0,0,1
26.7,17.3,37.2,18.1,10.3,64.3,29.1,Paddy,Sandy Loam,Adequate,0,0,0,0
41.7,0.0,59.3,24.5,8.3,82.9,40.9,Soybean,Alluvial Soil,Adequate,0,0,1,0
41.2,0.0,90.4,28.0,3.4,76.4,38.9,Sugarcane,Alluvial Soil,Adequate,0,0,1,0
36.9,8.5,75.4,18.0,19.1,39.3,36.8,Mustard,Clayey Loam,Adequate,0,0,1,0
32.4,0.0,57.8,29.9,2.0,26.0,32.4,Paddy,Black Soil,Adequate,0,0,0,0
27.9,0.0,64.5,17.0,11.0,10.6,30.4,Sugarcane,Black Soil,Critical Deficit,1,0,0,0
30.5,0.0,61.5,22.0,1.7,78.0,28.5,Pulses,Sandy Loam,Low / Moderate Deficit,0,0,0,0
32.7,0.0,33.7,16.9,6.4,8.9,32.4,Wheat,Clayey Loam,Critical Deficit,1,0,0,0
31.9,0.0,86.6,24.9,59.2,20.7,30.4,Sugarcane,Sandy Loam,Adequate,0,0,0,1
33.9,0.0,69.6,21.8,3.4,51.1,31.8,Sugarcane,Alluvial Soil,Low / Moderate Deficit,1,0,0,0
30.4,0.0,77.7,37.8,1.9,54.0,30.5,Cotton,Black Soil,Adequate,0,0,0,0
42.9,0.0,46.2,48.0,6.9,38.0,41.7,Cotton,Black Soil,Low / Moderate Deficit,0,0,1,0
36.2,66.0,27.4,17.0,107.1,4.6,39.0,Sugarcane,Sandy Loam,Critical Deficit,1,0,1,1
34.5,0.0,86.6,24.6,67.5,72.7,34.1,Sugarcane,Clayey Loam,Low / Moderate Deficit,0,0,0,1
26.3,0.0,85.9,36.3,21.0,54.7,25.6,Mustard,Black Soil,Adequate,0,0,0,0
27.3,0.0,71.2,16.4,3.5,3.4,28.1,Maize,Red Soil,Critical Deficit,1,0,0,0
32.0,0.0,46.5,32.1,4.4,55.9,32.1,Cotton,Alluvial Soil,Adequate,0,0,0,0
33.9,0.0,84.6,31.4,6.0,45.5,31.3,Maize,Red Soil,Adequate,0,0,0,0
31.2,0.0,20.9,55.9,1.5,241.9,31.7,Paddy,Red Soil,Saturated,0,0,0,0
19.8,0.0,59.0,45.0,11.7,191.3,19.7,Sugarcane,Alluvial Soil,Saturated,0,0,0,0
23.4,0.0,68.8,37.3,6.8,31.2,22.9,Mustard,Red Soil,Adequate,0,0,0,0
26.8,0.0,45.7,24.4,0.3,33.4,25.2,Wheat,Red Soil,Adequate,0,0,0,0
29.4,0.0,60.8,18.6,3.0,11.2,28.5,Wheat,Black Soil,Critical Deficit,1,0,0,0
28.3,0.0,18.6,34.9,1.4,22.4,27.9,Maize,Sandy Loam,Adequate,0,0,0,0
30.2,0.0,77.4,34.1,2.8,35.8,26.5,Mustard,Red Soil,Low / Moderate Deficit,0,0,0,0
37.1,13.8,64.0,22.9,6.6,43.1,33.9,Cotton,Clayey Loam,Adequate,0,0,0,0
39.4,0.0,70.0,10.0,2.6,5.1,41.0,Cotton,Clayey Loam,Critical Deficit,1,0,1,0
29.9,0.0,30.5,15.4,8.1,12.8,26.5,Sugarcane,Alluvial Soil,Critical Deficit,1,0,0,0
15.0,0.0,72.3,37.3,3.0,76.3,14.9,Soybean,Black Soil,Adequate,0,0,0,0
34.9,0.0,70.2,19.7,19.1,3.1,34.8,Soybean,Black Soil,Critical Deficit,1,0,0,0
20.2,17.0,60.9,18.2,8.5,51.3,20.6,Wheat,Sandy Loam,Adequate,0,0,0,0
24.8,82.8,53.1,21.4,9.7,64.3,25.9,Paddy,Red Soil,Adequate,0,0,0,1
15.2,0.0,45.7,17.1,8.0,14.1,14.3,Cotton,Black Soil,Critical Deficit,1,0,0,0
32.9,0.0,88.4,21.4,3.8,30.6,33.8,Sugarcane,Red Soil,Adequate,0,0,0,0
31.7,0.0,97.4,32.2,52.4,48.5,31.1,Maize,Clayey Loam,Low / Moderate Deficit,0,0,0,1
16.0,0.0,87.2,18.1,11.0,1.0,12.5,Soybean,Red Soil,Critical Deficit,1,0,0,0
18.8,0.0,46.2,21.1,3.5,8.6,18.8,Mustard,Red Soil,Critical Deficit,1,0,0,0
35.0,15.2,44.6,32.9,35.9,73.4,36.2,Maize,Black Soil,Adequate,0,0,0,0
30.3,0.0,98.0,20.2,16.7,0.2,29.6,Pulses,Sandy Loam,Critical Deficit,1,0,0,0
34.3,0.0,88.2,12.5,79.9,6.4,33.3,Paddy,Red Soil,Critical Deficit,1,0,0,1
31.1,0.0,98.0,35.7,0.5,80.0,32.0,Wheat,Red Soil,Adequate,0,0,0,0
26.2,2.0,56.7,21.2,5.5,32.1,25.5,Mustard,Alluvial Soil,Low / Moderate Deficit,1,0,0,0
23.7,0.0,46.9,30.2,1.4,71.2,24.7,Pulses,Black Soil,Adequate,0,0,0,0
36.3,0.0,55.5,40.0,1.9,58.2,36.2,Wheat,Black Soil,Adequate,0,0,0,0
32.8,0.0,32.5,56.2,0.1,134.4,31.8,Paddy,Sandy Loam,Saturated,0,0,0,0
32.7,0.0,60.3,25.7,2.4,32.0,34.4,Wheat,Sandy Loam,Adequate,0,0,0,0
21.8,0.0,25.6,48.0,1.3,44.6,20.9,Pulses,Black Soil,Adequate,0,0,0,0
28.5,0.0,87.1,32.5,14.5,30.1,25.4,Mustard,Red Soil,Adequate,0,0,0,0
25.0,0.0,76.6,32.3,18.7,36.5,21.7,Cotton,Clayey Loam,Adequate,0,0,0,0
19.7,0.0,78.2,21.1,54.6,12.1,20.4,Pulses,Red Soil,Critical Deficit,1,0,0,1
19.8,0.0,43.8,54.8,3.0,109.6,20.5,Mustard,Red Soil,Saturated,0,0,0,0
33.2,0.0,64.7,14.6,1.2,0.5,34.8,Paddy,Sandy Loam,Critical Deficit,1,0,0,0
26.2,0.0,82.5,26.0,6.2,84.0,24.7,Sugarcane,Clayey Loam,Adequate,0,0,0,0
40.2,0.0,61.6,17.9,1.5,6.3,38.4,Pulses,Black Soil,Critical Deficit,1,0,1,0
36.6,0.0,80.7,52.0,18.9,100.7,38.6,Wheat,Alluvial Soil,Saturated,0,1,1,0
26.6,5.5,65.7,13.3,0.9,9.5,27.9,Maize,Black Soil,Critical Deficit,1,0,0,0
19.0,0.0,37.0,54.1,0.1,103.2,17.9,Maize,Alluvial Soil,Saturated,0,0,0,0
20.9,0.0,45.6,28.4,3.8,50.9,18.3,Sugarcane,Red Soil,Adequate,0,0,0,0
31.8,0.0,29.0,17.1,5.5,7.1,30.2,Pulses,Clayey Loam,Critical Deficit,1,0,0,0
39.9,0.0,47.3,40.9,1.8,82.5,39.0,Cotton,Black Soil,Adequate,0,0,1,0
24.8,0.0,60.8,32.7,4.3,67.1,25.8,Cotton,Alluvial Soil,Low / Moderate Deficit,0,0,0,0
38.1,20.0,78.5,47.0,1.1,140.1,42.0,Mustard,Black Soil,Saturated,0,1,1,0
28.8,0.0,57.2,33.1,4.8,61.9,24.7,Pulses,Clayey Loam,Low / Moderate Deficit,0,0,0,0
36.1,0.0,59.1,20.3,1.7,12.1,33.2,Soybean,Red Soil,Critical Deficit,1,0,0,0
30.9,0.0,90.8,18.4,52.3,84.4,27.3,Sugarcane,Clayey Loam,Low / Moderate Deficit,1,0,0,1
26.9,0.0,85.4,14.7,24.7,6.3,29.1,Paddy,Clayey Loam,Critical Deficit,1,0,0,0
28.2,0.0,45.5,23.4,1.1,64.2,26.4,Maize,Black Soil,Adequate,0,0,0,0
35.9,0.0,56.1,47.5,1.9,248.6,36.5,Sugarcane,Red Soil,Saturated,0,0,0,0
33.7,0.0,50.9,22.5,0.1,82.2,33.5,Paddy,Sandy Loam,Low / Moderate Deficit,0,0,0,0
27.8,0.0,38.9,27.1,3.6,34.6,27.2,Mustard,Clayey Loam,Adequate,0,0,0,0
39.3,37.8,92.3,17.6,7.7,8.3,40.9,Mustard,Clayey Loam,Critical Deficit,1,0,1,0
21.7,0.0,46.8,21.9,2.1,75.3,22.0,Paddy,Alluvial Soil,Adequate,0,0,0,0
37.2,0.0,66.2,11.1,3.4,13.2,37.9,Mustard,Clayey Loam,Critical Deficit,1,0,1,0
32.4,0.0,72.9,31.1,29.9,68.9,34.7,Paddy,Sandy Loam,Low / Moderate Deficit,0,0,0,0
29.0,0.0,62.6,27.2,4.1,74.1,28.4,Pulses,Clayey Loam,Low / Moderate Deficit,0,0,0,0
34.9,0.0,33.2,29.5,3.0,55.1,32.9,Maize,Sandy Loam,Adequate,0,0,0,0
33.2,0.0,60.9,26.1,3.0,24.4,33.8,Paddy,Red Soil,Low / Moderate Deficit,0,0,0,0
28.6,1.4,93.2,47.1,47.8,58.6,27.5,Paddy,Black Soil,Low / Moderate Deficit,0,1,0,1
29.2,0.0,23.4,18.0,3.4,84.8,28.6,Sugarcane,Clayey Loam,Adequate,0,0,0,0
32.6,0.0,51.0,16.7,0.7,9.8,31.8,Cotton,Red Soil,Critical Deficit,1,0,0,0
28.7,0.0,39.4,47.1,1.6,133.9,31.2,Paddy,Red Soil,Saturated,0,0,0,0
28.6,0.6,66.3,30.7,3.2,50.8,28.1,Paddy,Red Soil,Adequate,0,0,0,0
32.1,0.0,68.2,28.9,5.6,28.5,34.1,Mustard,Sandy Loam,Adequate,0,0,0,0
29.0,16.4,35.9,53.5,23.4,126.1,26.6,Maize,Sandy Loam,Saturated,0,1,0,0
26.2,0.0,77.9,24.0,0.3,51.2,25.2,Sugarcane,Clayey Loam,Adequate,0,0,0,0
32.2,11.8,68.6,25.0,2.8,60.2,30.5,Pulses,Red Soil,Low / Moderate Deficit,0,0,0,0
24.7,0.0,60.7,15.5,0.1,2.0,23.6,Sugarcane,Black Soil,Critical Deficit,1,0,0,0
26.6,2.0,70.3,35.9,25.3,76.6,27.1,Pulses,Alluvial Soil,Low / Moderate Deficit,0,0,0,0
36.3,0.0,50.4,32.9,6.8,49.4,36.6,Wheat,Sandy Loam,Low / Moderate Deficit,0,0,0,0
40.1,0.0,51.7,48.0,3.2,41.4,39.5,Paddy,Black Soil,Adequate,0,0,1,0
28.9,3.2,78.8,18.0,0.5,55.3,30.7,Soybean,Sandy Loam,Low / Moderate Deficit,1,0,0,0
21.8,0.0,51.5,23.0,0.7,82.5,22.3,Paddy,Red Soil,Adequate,0,0,0,0
38.3,0.0,73.6,30.7,17.6,58.2,42.7,Wheat,Clayey Loam,Low / Moderate Deficit,0,0,1,0
39.1,0.0,89.5,18.0,26.6,50.3,36.8,Wheat,Clayey Loam,Adequate,0,0,1,0
33.0,4.9,64.7,36.9,10.7,52.0,32.6,Maize,Black Soil,Adequate,0,0,0,0
39.3,0.0,92.5,18.0,2.5,45.9,40.9,Soybean,Sandy Loam,Adequate,0,0,1,0
40.3,0.0,87.7,27.6,6.8,48.7,39.9,Paddy,Clayey Loam,Adequate,0,0,1,0
24.7,0.0,67.6,18.0,2.7,59.4,22.4,Mustard,Alluvial Soil,Adequate,0,0,0,0
34.2,0.0,77.5,20.8,49.9,0.5,37.7,Pulses,Clayey Loam,Critical Deficit,1,0,0,0
22.6,1.7,71.3,35.3,2.7,45.8,23.8,Soybean,Alluvial Soil,Adequate,0,0,0,0
30.8,0.0,68.1,18.0,1.8,63.3,35.2,Wheat,Red Soil,Adequate,0,0,0,0
30.4,3.8,62.2,22.2,3.9,82.6,29.5,Sugarcane,Clayey Loam,Adequate,0,0,0,0
29.7,5.0,63.5,27.2,5.3,27.4,30.5,Pulses,Alluvial Soil,Low / Moderate Deficit,0,0,0,0
33.8,0.0,39.4,26.8,3.2,85.0,32.7,Cotton,Sandy Loam,Low / Moderate Deficit,0,0,0,0
28.4,0.0,50.9,40.4,3.2,77.1,28.2,Soybean,Black Soil,Low / Moderate Deficit,0,0,0,0
21.2,0.0,43.8,33.0,1.2,56.6,23.6,Pulses,Red Soil,Low / Moderate Deficit,0,0,0,0
36.4,0.0,98.0,12.4,0.4,9.6,36.9,Paddy,Sandy Loam,Critical Deficit,1,0,0,0
30.4,0.0,80.3,28.1,0.6,45.9,28.1,Wheat,Black Soil,Adequate,0,0,0,0
36.1,0.0,20.7,20.0,3.8,6.5,36.2,Maize,Sandy Loam,Critical Deficit,1,0,1,0
30.6,49.0,58.9,24.8,10.8,36.7,29.2,Mustard,Clayey Loam,Low / Moderate Deficit,0,0,0,1
44.7,22.8,77.6,47.8,12.8,227.5,44.8,Sugarcane,Red Soil,Saturated,0,1,1,0
35.7,0.0,48.1,20.1,7.5,73.0,35.5,Pulses,Clayey Loam,Adequate,0,0,0,0
30.7,0.0,69.8,13.9,6.5,9.2,29.7,Sugarcane,Clayey Loam,Critical Deficit,1,0,0,0
28.3,27.3,73.5,33.2,8.0,63.4,30.2,Wheat,Black Soil,Low / Moderate Deficit,0,0,0,0
43.3,0.0,37.7,14.9,4.0,1.4,44.0,Wheat,Red Soil,Critical Deficit,1,0,1,0
35.8,8.9,98.0,16.9,22.6,2.0,35.8,Mustard,Clayey Loam,Critical Deficit,1,0,0,0
40.1,0.0,50.0,28.4,14.2,37.8,42.5,Maize,Alluvial Soil,Adequate,0,0,1,0
23.4,0.0,47.2,20.4,0.2,72.0,23.5,Soybean,Sandy Loam,Adequate,0,0,0,0
40.1,11.0,75.7,24.1,5.3,43.6,39.3,Paddy,Clayey Loam,Adequate,0,0,1,0
35.2,0.0,27.7,32.9,9.8,31.1,36.2,Paddy,Alluvial Soil,Adequate,0,0,0,0
29.9,0.0,66.9,40.2,0.4,35.8,31.0,Wheat,Black Soil,Low / Moderate Deficit,0,0,0,0
34.9,0.0,47.6,18.0,2.8,24.1,34.9,Soybean,Clayey Loam,Adequate,0,0,0,0
23.1,0.0,32.3,42.9,0.8,38.2,23.2,Sugarcane,Black Soil,Adequate,0,0,0,0
32.7,0.0,50.5,25.2,2.5,45.8,29.0,Wheat,Sandy Loam,Low / Moderate Deficit,0,0,0,0
32.2,0.0,96.0,17.7,3.8,4.8,31.4,Soybean,Alluvial Soil,Critical Deficit,1,0,0,0
34.3,0.0,62.2,30.5,2.0,29.0,31.9,Paddy,Alluvial Soil,Adequate,0,0,0,0
25.2,0.0,66.3,24.4,2.1,70.5,25.1,Mustard,Clayey Loam,Adequate,0,0,0,0
14.0,18.4,65.3,34.2,6.1,29.9,15.8,Mustard,Sandy Loam,Adequate,0,0,0,0
25.9,0.0,58.9,21.6,0.2,27.9,25.3,Paddy,Clayey Loam,Low / Moderate Deficit,1,0,0,0
35.6,0.0,87.4,20.6,6.5,31.3,34.5,Soybean,Red Soil,Adequate,0,0,0,0
35.3,0.0,72.1,27.3,26.5,51.3,32.0,Sugarcane,Sandy Loam,Low / Moderate Deficit,0,0,0,0
28.6,0.0,41.2,19.0,2.6,60.2,29.5,Pulses,Clayey Loam,Adequate,0,0,0,0
22.8,0.8,69.2,29.9,1.4,52.5,20.8,Maize,Clayey Loam,Low / Moderate Deficit,0,0,0,0
27.3,0.0,44.1,11.9,1.9,6.9,24.9,Mustard,Clayey Loam,Critical Deficit,1,0,0,0
36.9,0.0,39.8,24.5,0.9,61.4,38.3,Maize,Alluvial Soil,Low / Moderate Deficit,0,0,1,0
32.2,0.0,55.4,14.2,6.4,0.6,32.1,Wheat,Red Soil,Critical Deficit,1,0,0,0
29.3,12.8,61.7,26.4,12.3,83.1,29.3,Pulses,Red Soil,Low / Moderate Deficit,0,0,0,0
37.1,0.0,72.9,31.0,0.5,60.6,36.0,Paddy,Red Soil,Adequate,0,0,0,0
24.8,57.9,44.2,23.1,16.3,28.1,25.8,Wheat,Alluvial Soil,Adequate,0,0,0,1
39.2,0.0,69.1,14.9,3.2,13.9,37.9,Paddy,Alluvial Soil,Critical Deficit,1,0,1,0
19.6,0.0,24.9,32.1,8.6,32.8,19.1,Pulses,Black Soil,Adequate,0,0,0,0
35.2,0.0,49.5,15.5,5.6,11.3,35.6,Soybean,Black Soil,Critical Deficit,1,0,0,0
36.7,0.0,45.6,21.8,2.3,64.5,37.2,Maize,Sandy Loam,Adequate,0,0,0,0
22.8,0.0,59.3,55.2,1.6,187.9,24.1,Sugarcane,Red Soil,Saturated,0,0,0,0
31.0,0.0,44.6,26.2,1.7,72.8,29.2,Soybean,Red Soil,Adequate,0,0,0,0
24.9,0.0,48.8,31.6,3.2,73.0,23.6,Sugarcane,Clayey Loam,Low / Moderate Deficit,0,0,0,0
34.1,0.0,20.2,26.9,5.7,20.7,34.6,Paddy,Red Soil,Low / Moderate Deficit,0,0,0,0
36.8,0.0,74.1,18.6,15.9,45.0,36.8,Cotton,Alluvial Soil,Low / Moderate Deficit,1,0,0,0
27.3,0.0,53.6,22.6,0.0,45.2,26.7,Sugarcane,Sandy Loam,Low / Moderate Deficit,0,0,0,0
26.8,21.8,65.5,22.0,1.4,9.0,26.3,Cotton,Sandy Loam,Critical Deficit,0,0,0,0
24.0,0.0,66.9,25.5,4.1,44.3,26.0,Sugarcane,Sandy Loam,Adequate,0,0,0,0
29.5,0.0,57.8,28.9,4.0,61.4,32.3,Soybean,Black Soil,Adequate,0,0,0,0
31.8,0.0,35.2,29.3,0.5,58.1,34.3,Mustard,Red Soil,Low / Moderate Deficit,0,0,0,0
27.5,0.0,69.5,45.0,1.9,240.0,26.3,Soybean,Black Soil,Saturated,0,0,0,0
29.8,0.0,91.9,21.4,32.7,59.7,30.5,Sugarcane,Alluvial Soil,Adequate,0,0,0,0
32.1,1.1,62.2,29.7,1.0,78.9,30.9,Sugarcane,Black Soil,Low / Moderate Deficit,0,0,0,0
28.2,0.0,88.2,21.8,1.7,24.1,28.2,Mustard,Alluvial Soil,Adequate,0,0,0,0
15.5,0.0,75.9,25.4,57.5,80.9,16.3,Wheat,Red Soil,Adequate,0,0,0,1
35.3,0.0,43.5,18.3,0.9,56.7,36.2,Wheat,Alluvial Soil,Adequate,0,0,0,0
20.3,3.0,81.0,54.5,6.4,179.8,19.6,Paddy,Red Soil,Saturated,0,0,0,0
36.1,0.0,18.9,18.0,2.4,75.0,36.9,Cotton,Clayey Loam,Adequate,0,0,1,0
23.3,35.6,71.7,19.9,15.4,71.2,24.8,Wheat,Clayey Loam,Adequate,0,0,0,0
17.2,0.0,59.3,29.8,2.4,21.2,18.4,Soybean,Sandy Loam,Adequate,0,0,0,0
27.0,0.0,47.6,27.2,2.5,55.9,29.4,Mustard,Clayey Loam,Low / Moderate Deficit,0,0,0,0
28.9,19.2,98.0,57.2,43.2,244.3,28.0,Mustard,Red Soil,Saturated,0,1,0,1
35.5,0.0,48.0,14.7,3.0,13.7,37.4,Mustard,Sandy Loam,Critical Deficit,1,0,0,0
35.9,0.0,71.8,23.4,48.7,83.9,36.6,Mustard,Alluvial Soil,Adequate,0,0,0,0
24.3,0.0,67.6,25.1,2.9,82.9,26.4,Cotton,Sandy Loam,Adequate,0,0,0,0
36.9,38.5,85.8,56.7,13.9,205.1,40.8,Pulses,Clayey Loam,Saturated,0,1,0,0
25.2,0.0,70.7,35.8,42.7,40.4,25.7,Wheat,Alluvial Soil,Adequate,0,0,0,0
17.3,0.0,49.1,19.0,5.3,66.3,16.5,Paddy,Alluvial Soil,Low / Moderate Deficit,1,0,0,0
26.6,0.0,52.6,29.6,1.8,60.4,28.5,Mustard,Alluvial Soil,Adequate,0,0,0,0
32.4,0.0,59.6,27.9,0.4,64.6,34.2,Soybean,Black Soil,Low / Moderate Deficit,0,0,0,0
28.7,0.0,49.3,31.4,0.7,69.6,28.4,Sugarcane,Black Soil,Low / Moderate Deficit,0,0,0,0
32.1,0.0,68.8,53.6,3.3,197.3,31.7,Maize,Sandy Loam,Saturated,0,0,0,0
19.8,0.0,19.0,26.5,2.4,27.2,19.7,Pulses,Red Soil,Adequate,0,0,0,0
32.0,0.0,63.4,38.1,5.9,69.0,31.6,Sugarcane,Black Soil,Adequate,0,0,0,0
35.3,0.0,50.5,27.0,6.2,55.1,34.3,Cotton,Sandy Loam,Adequate,0,0,0,0
29.9,0.0,54.5,28.7,2.7,68.3,28.3,Mustard,Black Soil,Adequate,0,0,0,0
32.6,0.0,76.2,54.9,55.7,95.5,31.6,Sugarcane,Red Soil,Saturated,0,1,0,1
30.4,32.0,80.9,53.1,22.8,222.7,31.4,Paddy,Red Soil,Saturated,0,1,0,0
26.9,0.0,64.3,32.7,1.9,30.7,25.6,Mustard,Black Soil,Adequate,0,0,0,0
39.8,12.9,73.4,15.2,2.8,9.8,36.2,Soybean,Clayey Loam,Critical Deficit,1,0,1,0
35.4,0.7,56.1,15.4,2.8,7.0,35.9,Wheat,Alluvial Soil,Critical Deficit,1,0,0,0
26.6,0.0,98.0,18.9,16.1,12.8,30.1,Cotton,Clayey Loam,Critical Deficit,1,0,0,0
28.1,0.0,27.7,21.9,0.7,38.1,27.9,Cotton,Red Soil,Low / Moderate Deficit,1,0,0,0
30.8,0.0,84.0,24.6,21.4,80.4,29.9,Mustard,Clayey Loam,Adequate,0,0,0,0
33.5,0.0,66.3,27.8,0.9,66.7,35.0,Maize,Black Soil,Adequate,0,0,0,0
34.9,36.9,69.6,31.5,7.4,63.1,35.8,Sugarcane,Alluvial Soil,Low / Moderate Deficit,0,0,0,0
35.5,0.0,62.1,14.4,1.2,9.7,37.8,Maize,Red Soil,Critical Deficit,1,0,0,0
30.3,2.2,98.0,27.7,4.2,68.2,28.7,Wheat,Alluvial Soil,Low / Moderate Deficit,0,0,0,0
19.8,0.0,48.4,10.1,2.6,10.9,20.9,Maize,Red Soil,Critical Deficit,1,0,0,0
28.2,14.1,79.5,18.0,49.5,45.0,28.9,Cotton,Sandy Loam,Adequate,0,0,0,0
27.8,0.0,64.2,15.2,0.0,5.9,27.7,Paddy,Sandy Loam,Critical Deficit,1,0,0,0
23.4,0.0,56.1,32.9,1.3,42.1,25.5,Mustard,Alluvial Soil,Adequate,0,0,0,0
36.7,0.0,38.7,36.3,1.4,29.1,36.0,Pulses,Red Soil,Adequate,0,0,0,0
19.4,0.0,33.9,12.7,0.5,12.5,19.3,Maize,Red Soil,Critical Deficit,1,0,0,0
14.3,0.0,38.0,26.2,2.4,29.9,13.1,Maize,Alluvial Soil,Adequate,0,0,0,0
45.8,0.0,27.5,50.3,0.9,222.3,47.3,Cotton,Clayey Loam,Saturated,0,0,1,0
42.2,32.0,61.5,26.8,19.7,85.0,40.4,Maize,Red Soil,Adequate,0,0,1,0
31.8,0.0,76.2,14.7,24.2,0.6,29.9,Maize,Alluvial Soil,Critical Deficit,1,0,0,0
31.5,0.0,68.4,16.9,6.1,1.9,30.9,Cotton,Clayey Loam,Critical Deficit,1,0,0,0
30.1,25.3,71.8,15.7,16.9,7.8,27.2,Cotton,Sandy Loam,Critical Deficit,1,0,0,0
46.3,0.0,55.1,19.6,11.8,11.5,45.8,Soybean,Red Soil,Critical Deficit,1,0,1,0
23.9,0.0,45.7,18.2,0.9,11.4,22.6,Sugarcane,Clayey Loam,Critical Deficit,1,0,0,0
30.5,0.0,79.4,21.8,25.9,67.6,32.0,Soybean,Clayey Loam,Adequate,0,0,0,0
37.3,0.1,34.1,37.8,8.3,77.5,38.0,Soybean,Black Soil,Low / Moderate Deficit,0,0,0,0
39.2,0.0,47.5,37.7,3.5,57.5,40.4,Paddy,Alluvial Soil,Adequate,0,0,1,0
25.7,0.0,66.1,18.0,0.8,66.2,25.6,Mustard,Alluvial Soil,Adequate,0,0,0,0
20.4,0.0,46.4,25.4,0.9,74.7,19.9,Mustard,Sandy Loam,Low / Moderate Deficit,0,0,0,0
38.9,0.0,51.4,34.2,3.8,73.4,40.5,Cotton,Black Soil,Adequate,0,0,1,0
14.9,6.5,92.4,13.0,8.6,13.8,15.2,Soybean,Sandy Loam,Critical Deficit,1,0,0,0
